"Date","Price","Open","High","Low","Vol.","Change %"
"04-10-2023","14,984.95","15,148.15","15,151.05","14,888.25","","-1.29%"
"03-10-2023","15,180.45","15,156.80","15,194.90","15,089.05","","0.26%"
"29-09-2023","15,141.05","15,043.85","15,186.35","15,003.80","","1.04%"
"28-09-2023","14,985.50","15,196.50","15,205.35","14,970.55","","-1.14%"
"27-09-2023","15,158.30","15,074.50","15,168.85","15,039.55","","0.75%"
"26-09-2023","15,045.60","15,068.95","15,105.65","15,022.10","","-0.06%"
"25-09-2023","15,054.85","15,002.65","15,071.70","14,891.10","","0.53%"
"22-09-2023","14,975.50","15,013.55","15,062.45","14,892.85","","-0.10%"
"21-09-2023","14,990.90","15,100.50","15,164.70","14,961.10","","-0.86%"
"20-09-2023","15,121.10","15,122.80","15,183.05","15,057.25","","-0.31%"
"18-09-2023","15,168.65","15,251.10","15,252.40","15,159.40","","-0.36%"
"15-09-2023","15,222.70","15,279.55","15,298.25","15,194.05","","0.12%"
"14-09-2023","15,204.15","15,142.15","15,222.15","15,122.75","","0.93%"
"13-09-2023","15,063.55","15,038.20","15,114.05","14,836.15","","0.12%"
"12-09-2023","15,045.10","15,598.50","15,599.05","15,027.00","","-2.97%"
"11-09-2023","15,504.90","15,431.50","15,513.75","15,410.65","","1.07%"
"08-09-2023","15,341.05","15,250.25","15,351.15","15,200.05","","0.93%"
"07-09-2023","15,200.05","15,135.25","15,209.65","15,104.05","","0.64%"
"06-09-2023","15,104.05","15,146.30","15,146.75","15,063.40","","0.02%"
"05-09-2023","15,100.70","14,998.45","15,114.90","14,935.05","","1.11%"
"04-09-2023","14,935.05","14,880.40","14,958.90","14,810.15","","0.84%"
"01-09-2023","14,810.15","14,719.35","14,820.25","14,679.60","","0.79%"
"31-08-2023","14,693.85","14,704.50","14,728.65","14,625.55","","0.27%"
"30-08-2023","14,654.45","14,624.80","14,675.85","14,620.10","","0.65%"
"29-08-2023","14,559.30","14,542.45","14,572.45","14,524.55","","0.39%"
"28-08-2023","14,502.60","14,492.75","14,530.50","14,456.90","","0.43%"
"25-08-2023","14,440.65","14,526.10","14,556.05","14,407.95","","-0.74%"
"24-08-2023","14,547.85","14,596.90","14,633.05","14,534.50","","0.27%"
"23-08-2023","14,508.75","14,506.45","14,556.90","14,496.80","","0.38%"
"22-08-2023","14,454.10","14,353.15","14,460.50","14,343.10","","1.06%"
"21-08-2023","14,302.15","14,227.90","14,311.70","14,205.95","","0.77%"
"18-08-2023","14,193.45","14,226.95","14,253.25","14,159.20","","-0.15%"
"17-08-2023","14,215.20","14,209.80","14,258.05","14,191.55","","0.30%"
"16-08-2023","14,172.60","14,138.10","14,188.50","14,078.90","","0.13%"
"14-08-2023","14,153.95","14,181.00","14,182.50","13,985.30","","-0.26%"
"11-08-2023","14,190.30","14,292.75","14,297.10","14,172.80","","-0.27%"
"10-08-2023","14,228.50","14,255.70","14,276.80","14,175.00","","-0.01%"
"09-08-2023","14,230.05","14,212.15","14,237.30","14,143.95","","0.31%"
"08-08-2023","14,186.20","14,198.50","14,210.40","14,080.95","","0.26%"
"07-08-2023","14,149.95","14,120.25","14,159.65","14,081.35","","0.50%"
"04-08-2023","14,079.30","14,046.45","14,109.55","14,021.60","","0.72%"
"03-08-2023","13,979.05","13,968.65","14,022.90","13,911.40","","0.03%"
"02-08-2023","13,975.20","14,144.35","14,147.55","13,857.85","","-1.24%"
"01-08-2023","14,151.00","14,190.05","14,200.00","14,129.00","","0.08%"
"31-07-2023","14,140.00","14,000.65","14,153.85","13,993.45","","1.17%"
"28-07-2023","13,976.00","13,927.35","13,985.05","13,898.85","","0.55%"
"27-07-2023","13,898.90","13,934.10","13,957.35","13,859.55","","0.18%"
"26-07-2023","13,873.30","13,875.65","13,898.65","13,852.25","","0.32%"
"25-07-2023","13,829.15","13,828.50","13,846.15","13,755.90","","0.49%"
"24-07-2023","13,762.20","13,805.85","13,830.70","13,746.50","","-0.08%"
"21-07-2023","13,772.85","13,763.55","13,797.10","13,742.75","","-0.19%"
"20-07-2023","13,799.55","13,800.60","13,812.25","13,777.15","","0.22%"
"19-07-2023","13,769.80","13,726.30","13,775.90","13,701.85","","0.60%"
"18-07-2023","13,688.20","13,745.45","13,754.90","13,627.70","","-0.15%"
"17-07-2023","13,709.10","13,701.85","13,751.40","13,686.50","","0.38%"
"14-07-2023","13,657.45","13,581.85","13,664.85","13,557.85","","1.00%"
"13-07-2023","13,522.40","13,649.25","13,669.05","13,486.85","","-0.57%"
"12-07-2023","13,600.00","13,574.25","13,615.00","13,549.75","","0.49%"
"11-07-2023","13,534.35","13,477.40","13,563.15","13,467.95","","0.75%"
"10-07-2023","13,433.50","13,530.30","13,534.10","13,410.45","","-0.42%"
"07-07-2023","13,490.70","13,588.20","13,609.90","13,455.80","","-0.75%"
"06-07-2023","13,593.10","13,504.65","13,597.00","13,491.20","","0.83%"
"05-07-2023","13,481.65","13,432.60","13,493.00","13,412.80","","0.57%"
"04-07-2023","13,405.20","13,476.05","13,478.30","13,387.00","","-0.17%"
"03-07-2023","13,427.60","13,472.75","13,484.75","13,412.25","","0.20%"
"30-06-2023","13,401.45","13,360.05","13,411.95","13,352.65","","0.64%"
"28-06-2023","13,316.45","13,309.75","13,336.50","13,273.80","","0.50%"
"27-06-2023","13,250.60","13,233.90","13,283.90","13,219.55","","0.48%"
"26-06-2023","13,187.55","13,082.20","13,202.60","13,033.05","","0.84%"
