Company Name,Ticker,NSE Symbol,Market Cap
Concord Biotech Ltd.,CONCORDBIO.NS,NSE:CONCORDBIO,Small Cap
Craftsman Automation Ltd.,CRAFTSMAN.NS,NSE:CRAFTSMAN,Small Cap
CreditAccess Grameen Ltd.,CREDITACC.NS,NSE:CREDITACC,Small Cap
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,NSE:CROMPTON,Small Cap
Cyient Ltd.,CYIENT.NS,NSE:CYIENT,Small Cap
DOMS Industries Ltd.,DOMS.NS,NSE:DOMS,Small Cap
Data Patterns (India) Ltd.,DATAPATTNS.NS,NSE:DATAPATTNS,Small Cap
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.NS,NSE:DEEPAKFERT,Small Cap
Devyani International Ltd.,DEVYANI.NS,NSE:DEVYANI,Small Cap
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,NSE:LALPATHLAB,Small Cap
E.I.D. Parry (India) Ltd.,EIDPARRY.NS,NSE:EIDPARRY,Small Cap
EIH Ltd.,EIHOTEL.NS,NSE:EIHOTEL,Small Cap
Easy Trip Planners Ltd.,EASEMYTRIP.NS,NSE:EASEMYTRIP,Small Cap
Elecon Engineering Co. Ltd.,ELECON.NS,NSE:ELECON,Small Cap
Elgi Equipments Ltd.,ELGIEQUIP.NS,NSE:ELGIEQUIP,Small Cap
Emcure Pharmaceuticals Ltd.,EMCURE.NS,NSE:EMCURE,Small Cap
Engineers India Ltd.,ENGINERSIN.NS,NSE:ENGINERSIN,Small Cap
Equitas Small Finance Bank Ltd.,EQUITASBNK.NS,NSE:EQUITASBNK,Small Cap
Eris Lifesciences Ltd.,ERIS.NS,NSE:ERIS,Small Cap
